epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,168.805,0.60128,0.44359,0.94054,0.9554,0.975,0.97679,0.74007,0.97145,0.52951,1.09235,0.000830833,0.000830833,0.000830833
154,169.878,0.57904,0.44688,0.91707,0.92663,0.96879,0.96904,0.72406,0.96198,0.55048,1.08606,0.000825332,0.000825332,0.000825332
155,170.952,0.56605,0.41889,0.88512,0.98679,0.95,0.97332,0.73396,1.00859,0.59704,1.08083,0.000819831,0.000819831,0.000819831
156,172.027,0.55123,0.42922,0.90269,0.99657,0.94798,0.96741,0.72282,1.06837,0.60899,1.10314,0.000814329,0.000814329,0.000814329
157,173.095,0.64371,0.43958,0.98075,0.99734,0.94835,0.97523,0.74794,1.03449,0.5919,1.09399,0.000808828,0.000808828,0.000808828
158,174.17,0.55261,0.40835,0.90964,0.97488,0.9708,0.97814,0.78451,0.98037,0.55377,1.06091,0.000803327,0.000803327,0.000803327
159,175.252,0.57926,0.42735,0.92469,0.97033,0.975,0.97983,0.78044,0.94829,0.55081,1.06148,0.000797826,0.000797826,0.000797826
160,176.329,0.56908,0.40338,0.89023,0.97012,0.9719,0.98056,0.77093,0.94725,0.55107,1.07819,0.000792325,0.000792325,0.000792325
161,177.42,0.53623,0.40631,0.91889,0.96817,0.97169,0.9795,0.76919,0.98742,0.56968,1.08052,0.000786824,0.000786824,0.000786824
162,178.532,0.51416,0.40111,0.91806,0.968,0.97205,0.98096,0.75225,0.99362,0.577,1.05467,0.000781323,0.000781323,0.000781323
163,179.618,0.55932,0.40763,0.89797,0.96817,0.97242,0.99273,0.75712,0.9816,0.5142,1.07342,0.000775822,0.000775822,0.000775822
164,180.701,0.4897,0.38128,0.88157,0.97745,0.97348,0.97891,0.75518,1.01708,0.52325,1.10858,0.000770321,0.000770321,0.000770321
165,181.775,0.53756,0.40454,0.90466,0.97136,0.97238,0.98056,0.75341,0.99937,0.50875,1.08177,0.00076482,0.00076482,0.00076482
166,182.865,0.54824,0.40606,0.90362,0.9738,0.97252,0.98056,0.75676,0.972,0.51083,1.06533,0.000759318,0.000759318,0.000759318
167,183.956,0.52105,0.38524,0.87406,0.99475,0.95196,0.97891,0.76721,0.99096,0.50557,1.07509,0.000753817,0.000753817,0.000753817
168,185.111,0.61339,0.4386,0.91463,0.9952,0.95164,0.97731,0.76685,1.00512,0.52546,1.08492,0.000748316,0.000748316,0.000748316
169,186.217,0.56926,0.41677,0.94785,0.99531,0.95,0.9685,0.7415,1.02108,0.58391,1.0935,0.000742815,0.000742815,0.000742815
170,187.313,0.54073,0.40531,0.89918,0.98998,0.95,0.95679,0.74285,1.00645,0.62814,1.08474,0.000737314,0.000737314,0.000737314
171,188.429,0.51932,0.3858,0.89171,0.97691,0.94605,0.95738,0.74634,1.00437,0.64257,1.09325,0.000731813,0.000731813,0.000731813
172,189.563,0.54471,0.40403,0.8865,0.98138,0.93127,0.97356,0.74885,0.98407,0.58973,1.06508,0.000726312,0.000726312,0.000726312
173,190.671,0.50437,0.3832,0.87265,0.98885,0.95,0.973,0.77061,0.95094,0.5226,1.0606,0.000720811,0.000720811,0.000720811
